customer_id,month,category,payment_type,spend
ATQCUS1371,July,Health & Wellness,Credit Card,1114
ATQCUS0368,October,Groceries,Credit Card,1466
ATQCUS0595,May,Health & Wellness,Credit Card,387
ATQCUS0667,October,Electronics,Credit Card,1137
ATQCUS3477,September,Bills,UPI,2102
ATQCUS1972,October,Health & Wellness,UPI,243
ATQCUS2843,June,Entertainment,Credit Card,268
ATQCUS2634,August,Apparel,Debit Card,737
ATQCUS2165,July,Food,UPI,506
ATQCUS0908,September,Others,UPI,380
ATQCUS1115,May,Food,UPI,361
ATQCUS1279,August,Entertainment,Debit Card,443
ATQCUS0108,September,Groceries,Credit Card,361
ATQCUS3883,May,Groceries,Credit Card,56
ATQCUS2594,October,Electronics,Credit Card,873
ATQCUS0558,June,Apparel,Net Banking,51
ATQCUS0650,August,Groceries,UPI,1273
ATQCUS1019,August,Bills,Net Banking,555
ATQCUS1521,October,Groceries,Net Banking,410
ATQCUS2564,May,Health & Wellness,Debit Card,2158
ATQCUS2867,August,Health & Wellness,Net Banking,463
ATQCUS3551,August,Electronics,UPI,1104
ATQCUS0700,May,Travel,Debit Card,245
ATQCUS0829,September,Entertainment,UPI,405
ATQCUS2026,July,Apparel,Credit Card,945
ATQCUS0394,June,Travel,Credit Card,1573
ATQCUS3907,August,Apparel,Credit Card,1079
ATQCUS1524,August,Health & Wellness,UPI,706
ATQCUS1515,July,Bills,Credit Card,1179
ATQCUS0740,May,Bills,Credit Card,884
ATQCUS2019,October,Apparel,Debit Card,928
ATQCUS1665,May,Entertainment,Debit Card,407
ATQCUS0699,July,Bills,UPI,806
ATQCUS3174,September,Apparel,Credit Card,650
ATQCUS0167,June,Food,UPI,608
ATQCUS0627,May,Bills,UPI,1496
ATQCUS3785,May,Food,Credit Card,365
ATQCUS3915,August,Travel,UPI,1687
ATQCUS2450,June,Health & Wellness,UPI,239
ATQCUS3705,September,Electronics,Debit Card,617
ATQCUS2847,July,Health & Wellness,Credit Card,1125
ATQCUS2103,September,Food,UPI,1007
ATQCUS1712,May,Electronics,Debit Card,464
ATQCUS3368,July,Entertainment,UPI,1167
ATQCUS1118,August,Apparel,Net Banking,115
ATQCUS1744,June,Electronics,UPI,219
ATQCUS3212,May,Bills,UPI,305
ATQCUS2778,July,Electronics,UPI,329
ATQCUS1564,July,Electronics,Net Banking,300
ATQCUS1956,July,Health & Wellness,Net Banking,283
ATQCUS1908,September,Travel,Debit Card,739
ATQCUS2627,October,Food,Debit Card,517
ATQCUS2795,September,Groceries,Credit Card,968
ATQCUS1295,May,Bills,Debit Card,877
ATQCUS3374,October,Electronics,Net Banking,161
ATQCUS2917,September,Travel,Net Banking,213
ATQCUS3265,June,Entertainment,Debit Card,1309
ATQCUS2463,July,Bills,Net Banking,266
ATQCUS1584,May,Apparel,Net Banking,68
ATQCUS0112,July,Bills,Debit Card,245
ATQCUS3997,September,Entertainment,Credit Card,187
ATQCUS2483,August,Groceries,Debit Card,460
ATQCUS0725,May,Apparel,Credit Card,89
ATQCUS0166,June,Entertainment,UPI,628
ATQCUS3756,May,Travel,UPI,357
ATQCUS1621,October,Others,Net Banking,29
ATQCUS2175,September,Groceries,Credit Card,1052
ATQCUS0163,October,Health & Wellness,Credit Card,766
ATQCUS2663,August,Electronics,UPI,385
ATQCUS1462,June,Apparel,Credit Card,278
ATQCUS2391,October,Food,Net Banking,83
ATQCUS2921,July,Others,UPI,113
ATQCUS1395,July,Apparel,Net Banking,40
ATQCUS2964,August,Others,UPI,228
ATQCUS3571,July,Travel,Credit Card,1390
ATQCUS2711,October,Entertainment,Credit Card,253
ATQCUS3759,October,Bills,Net Banking,106
ATQCUS2362,May,Entertainment,Credit Card,290
ATQCUS2037,October,Bills,UPI,102
ATQCUS3441,June,Apparel,Debit Card,233
ATQCUS0919,October,Food,Debit Card,922
ATQCUS1386,July,Food,Net Banking,161
ATQCUS2849,July,Food,UPI,203
ATQCUS2489,July,Entertainment,Debit Card,89
ATQCUS3451,August,Groceries,UPI,2776
ATQCUS2590,July,Travel,Net Banking,197
ATQCUS3726,September,Electronics,Debit Card,929
ATQCUS0184,June,Entertainment,Credit Card,639
ATQCUS1351,June,Health & Wellness,Credit Card,1093
ATQCUS2298,August,Health & Wellness,UPI,1293
ATQCUS2325,August,Electronics,Credit Card,896
ATQCUS0669,May,Bills,Credit Card,937
ATQCUS0321,August,Bills,Debit Card,2078
ATQCUS1855,May,Travel,Debit Card,462
ATQCUS1726,August,Groceries,UPI,1292
ATQCUS3157,June,Entertainment,Net Banking,604
ATQCUS0307,June,Health & Wellness,UPI,238
ATQCUS0181,July,Entertainment,UPI,345
ATQCUS2529,May,Travel,Net Banking,267
ATQCUS2185,September,Food,Debit Card,470
ATQCUS0712,July,Bills,Debit Card,574
ATQCUS2152,August,Food,UPI,916
ATQCUS1560,September,Food,Credit Card,539
ATQCUS2860,October,Bills,Credit Card,563
ATQCUS3566,May,Travel,UPI,589
ATQCUS2377,June,Electronics,Debit Card,391
ATQCUS2119,June,Electronics,Net Banking,172
ATQCUS2672,May,Entertainment,Net Banking,36
ATQCUS3696,September,Apparel,Credit Card,573
ATQCUS1528,May,Electronics,Debit Card,898
ATQCUS0269,August,Apparel,Credit Card,328
ATQCUS1514,June,Entertainment,Net Banking,71
ATQCUS2858,October,Others,Net Banking,63
ATQCUS3218,September,Health & Wellness,UPI,310
ATQCUS3732,May,Entertainment,Credit Card,463
ATQCUS2137,May,Apparel,Credit Card,532
ATQCUS2599,May,Travel,Credit Card,655
ATQCUS2158,June,Electronics,Net Banking,149
ATQCUS3991,August,Food,Credit Card,497
ATQCUS2014,July,Health & Wellness,Credit Card,601
ATQCUS2189,June,Bills,Debit Card,1342
ATQCUS2479,September,Health & Wellness,UPI,1243
ATQCUS0521,October,Bills,Net Banking,428
ATQCUS1109,July,Apparel,UPI,154
ATQCUS3192,May,Bills,Credit Card,193
ATQCUS0689,August,Travel,Credit Card,1122
ATQCUS3498,August,Health & Wellness,Debit Card,352
ATQCUS0306,August,Food,UPI,345
ATQCUS2938,May,Electronics,Net Banking,117
ATQCUS2077,October,Others,Debit Card,39
ATQCUS0142,September,Health & Wellness,UPI,565
ATQCUS0868,July,Health & Wellness,Net Banking,93
ATQCUS2498,September,Food,Net Banking,117
ATQCUS1568,June,Entertainment,Debit Card,176
ATQCUS3642,August,Entertainment,Net Banking,98
ATQCUS2882,May,Apparel,Debit Card,280
ATQCUS0448,June,Groceries,Net Banking,236
ATQCUS3837,September,Others,UPI,424
ATQCUS1934,August,Entertainment,Debit Card,242
ATQCUS0085,August,Others,UPI,123
ATQCUS1379,June,Others,Net Banking,69
ATQCUS0323,September,Entertainment,Net Banking,245
ATQCUS2422,August,Electronics,Net Banking,149
ATQCUS1571,May,Apparel,Net Banking,55
ATQCUS2355,October,Others,Debit Card,76
ATQCUS1396,October,Food,Credit Card,400
ATQCUS1022,June,Health & Wellness,UPI,765
ATQCUS0889,September,Health & Wellness,Credit Card,534
ATQCUS0641,October,Bills,Credit Card,1594
ATQCUS2151,May,Food,Credit Card,690
ATQCUS3204,October,Entertainment,Net Banking,514
ATQCUS0341,October,Groceries,Net Banking,826
ATQCUS3196,September,Health & Wellness,Debit Card,278
ATQCUS2779,August,Entertainment,Net Banking,123
ATQCUS1210,September,Health & Wellness,Net Banking,287
ATQCUS1799,October,Bills,Credit Card,1873
ATQCUS1125,September,Apparel,Credit Card,410
ATQCUS2825,July,Health & Wellness,Credit Card,1194
ATQCUS0422,July,Entertainment,Debit Card,173
ATQCUS2864,September,Apparel,UPI,421
ATQCUS1732,October,Apparel,Credit Card,149
ATQCUS3235,June,Electronics,UPI,1031
ATQCUS0316,May,Apparel,Credit Card,332
ATQCUS3958,September,Apparel,Net Banking,122
ATQCUS2204,August,Health & Wellness,Debit Card,1071
ATQCUS1233,September,Health & Wellness,Credit Card,2705
ATQCUS2682,August,Apparel,Debit Card,620
